YYMM|CC-CODE|CC-DESC|RCODE-CODE|RCODE-DESC|CCAATT-CODE|CCAATT-DESC|CCAATTMM-CODE|CCAATTMM-DESC|MALE|FEMALE|TOTAL|HOUSE|
6212|40|จังหวัดขอนแก่น |0| |0| |0| |887,501|915,371|1,802,872|628,656|
6212|41|จังหวัดอุดรธานี |0| |0| |0| |787,642|799,004|1,586,646|519,338|
6212|42|จังหวัดเลย |0| |0| |0| |322,851|320,099|642,950|223,231|
6212|43|จังหวัดหนองคาย |0| |0| |0| |259,849|262,462|522,311|175,639|
6212|44|จังหวัดมหาสารคาม |0| |0| |0| |472,198|490,467|962,665|299,717|
6212|45|จังหวัดร้อยเอ็ด |0| |0| |0| |648,548|656,663|1,305,211|388,224|
6212|46|จังหวัดกาฬสินธุ์ |0| |0| |0| |487,451|495,967|983,418|305,844|
6212|47|จังหวัดสกลนคร |0| |0| |0| |574,342|579,048|1,153,390|379,651|
6212|48|จังหวัดนครพนม |0| |0| |0| |358,720|360,416|719,136|227,396|
6212|49|จังหวัดมุกดาหาร |0| |0| |0| |176,708|176,466|353,174|115,748|
6212|50|จังหวัดเชียงใหม่ |0| |0| |0| |861,692|917,562|1,779,254|817,820|
6212|51|จังหวัดลำพูน |0| |0| |0| |195,140|209,935|405,075|179,812|
6212|52|จังหวัดลำปาง |0| |0| |0| |360,324|377,992|738,316|292,423|
6212|53|จังหวัดอุตรดิตถ์ |0| |0| |0| |221,583|231,520|453,103|170,691|
6212|54|จังหวัดแพร่ |0| |0| |0| |213,494|228,232|441,726|177,308|
6212|55|จังหวัดน่าน |0| |0| |0| |239,661|238,566|478,227|168,476|
6212|56|จังหวัดพะเยา |0| |0| |0| |230,476|241,880|472,356|192,755|
6212|57|จังหวัดเชียงราย |0| |0| |0| |632,413|665,891|1,298,304|548,617|
6212|58|จังหวัดแม่ฮ่องสอน |0| |0| |0| |144,302|139,836|284,138|112,268|
6212|60|จังหวัดนครสวรรค์ |0| |0| |0| |517,723|542,164|1,059,887|415,420|
6212|61|จังหวัดอุทัยธานี |0| |0| |0| |160,855|167,763|328,618|123,952|
6212|62|จังหวัดกำแพงเพชร |0| |0| |0| |359,205|366,662|725,867|274,543|
6212|63|จังหวัดตาก |0| |0| |0| |336,893|328,727|665,620|220,501|
6212|64|จังหวัดสุโขทัย |0| |0| |0| |288,842|306,230|595,072|217,841|
6212|65|จังหวัดพิษณุโลก |0| |0| |0| |423,304|441,943|865,247|347,266|
6212|66|จังหวัดพิจิตร |0| |0| |0| |261,765|274,546|536,311|195,825|
6212|67|จังหวัดเพชรบูรณ์ |0| |0| |0| |490,810|501,641|992,451|358,762|
6212|70|จังหวัดราชบุรี |0| |0| |0| |425,677|447,424|873,101|319,619|
6212|71|จังหวัดกาญจนบุรี |0| |0| |0| |450,262|445,263|895,525|343,345|
6212|72|จังหวัดสุพรรณบุรี |0| |0| |0| |408,808|437,526|846,334|302,594|
6212|73|จังหวัดนครปฐม |0| |0| |0| |441,351|478,679|920,030|404,004|
6212|74|จังหวัดสมุทรสาคร |0| |0| |0| |282,258|302,445|584,703|290,805|
6212|75|จังหวัดสมุทรสงคราม |0| |0| |0| |92,555|100,750|193,305|71,306|
6212|76|จังหวัดเพชรบุรี |0| |0| |0| |234,965|250,226|485,191|216,571|
6212|77|จังหวัดประจวบคีรีขันธ์ |0| |0| |0| |275,598|278,518|554,116|265,229|
